gpa,gre,camp,grade
3.34,146,0,68
3.61,154,0,67
3.51,149,0,63
3.54,155,1,79
3.75,139,1,65
3.47,150,1,75
3.87,152,0,70
3.64,151,0,64
3.59,152,1,78
3.71,142,0,58
3.23,150,0,60
3.56,153,1,80
3.36,151,1,75
3.67,153,0,63
3.11,142,1,70
3.45,140,1,78
3.67,146,1,78
3.52,149,1,77
3.27,144,1,68
3.84,151,0,64
3.66,151,1,77
3.62,159,0,73
3.32,149,0,66
3.7,157,0,70
3.7,152,1,82
3.48,146,1,76
3.1,145,0,56
3.81,142,0,67
3.81,157,0,69
3.13,150,0,69
3.46,144,1,77
3.55,148,1,80
3.57,161,1,85
3.5,151,0,67
3.55,150,1,77
3.82,160,1,86
2.72,155,1,72
3.54,141,0,65
3.83,157,1,85
3.58,155,1,82
3.37,151,0,67
3.35,154,1,77
3.17,148,1,74
3.61,146,0,61
3.65,155,1,77
3.55,152,1,73
3.32,146,0,60
3.75,159,1,89
3.66,146,1,79
3.6,151,1,84
3.59,159,0,81
3.46,152,0,72
3.6,144,1,65
3.75,153,1,82
3.26,148,1,73
3.56,151,1,74
3.37,145,1,77
3.43,150,1,80
3.52,140,1,73
3.62,150,1,72
3.52,150,1,82
3.22,143,0,57
3.56,148,0,68
3.54,142,0,64
3.77,155,0,71
3.32,142,0,62
3.63,153,0,70
3.42,146,0,67
3.13,156,0,64
3.74,136,0,62
3.27,138,1,73
3.72,150,0,66
3.67,156,0,78
2.99,154,0,65
3.44,149,0,68
3.62,157,0,71
3.35,149,0,59
3.48,140,1,73
3.43,149,0,61
3.3,151,0,60
3.29,150,0,64
2.94,139,1,56
3.82,162,0,81
3.08,143,1,65
3.6,149,0,66
3.96,158,0,72
3.36,144,0,59
3.09,142,1,75
3.63,148,0,73
3.46,158,0,71
3.67,162,1,75
3.59,167,1,85
3.55,145,0,67
3.66,155,1,79
3.45,149,0,67
3.55,153,0,68
3.43,153,0,60
4,160,0,73
3.55,141,0,63
3.77,159,0,74
3.53,162,0,71
3.24,143,0,54
3.38,156,0,67
3.69,151,1,74
3.26,145,1,63
3.61,140,1,71
3.55,160,1,77
3.51,161,0,76
3.39,141,0,62
3.11,146,1,68
3.47,151,0,64
3.69,146,0,64
3.02,136,1,66
3,146,0,68
3.52,157,0,73
3.44,152,0,62
3.47,155,1,81
3.86,157,1,84
3.2,140,0,56
3.75,141,1,70
3.56,152,1,83
3.83,158,1,83
3.48,157,0,65
3.55,145,0,69
3.74,161,1,84
3.14,153,1,78
3.73,159,0,72
3.5,150,1,73
3.82,141,0,63
3.38,137,0,61
3.76,154,0,67
3.39,150,1,75
3.21,153,0,62
3.49,150,0,65
3.49,147,0,67
3.31,153,0,66
3.47,166,0,72
3.36,160,0,65
3.42,155,0,63
3.76,161,1,81
3.5,144,1,61
3.49,146,0,63
3.27,154,1,71
3.46,143,0,60
3.76,159,0,73
3.66,158,0,72
3.53,147,0,71
3.62,150,0,68
3.58,153,0,69
3.41,161,0,62
2.95,147,1,67
3.42,140,1,73
3.36,151,1,76
3.53,144,0,65
3.83,158,0,72
3.41,155,1,75
3.43,156,0,67
3.89,158,0,65
3.51,151,0,65
3.18,143,0,58
3.39,150,0,66
3.06,142,0,51
3.5,153,0,65
3.56,147,1,70
3.78,145,1,67
3.42,152,1,79
3.22,146,1,68
3.81,149,0,72
3.4,144,0,70
3.44,150,1,71
3.31,158,1,75
3.65,160,0,72
3.84,149,1,74
3.47,152,0,67
3.83,145,0,68
3.76,161,0,73
3.44,153,0,66
3.15,166,0,73
3.87,156,0,82
3.79,151,0,66
3.66,144,1,72
3.55,158,1,79
3.58,161,0,76
3.47,155,0,75
3.52,154,1,75
3.49,154,1,78
3.21,149,1,73
3.82,160,1,86
3.64,148,1,73
3.79,159,0,72
3.84,148,1,73
3.71,152,0,66
3.3,149,1,67
3.28,148,0,65
3.62,168,0,74
3.69,155,1,79
3.16,143,0,55
3.52,147,0,56
3.16,162,0,65
3.52,153,1,72
3.6,147,0,63
2.95,146,1,69
3.46,158,1,83
2.92,151,0,60
3.51,141,1,76
3.73,156,0,70
3.33,150,1,69
3.82,145,1,83
3.61,160,0,73
3.32,151,1,72
3.13,147,1,65
3.42,144,1,71
3.67,163,0,69
3.34,151,1,75
3.85,151,0,71
3.36,144,1,74
3.51,149,0,71
3.54,153,1,82
3.98,161,0,74
3.48,157,0,66
3.74,150,1,78
3.56,156,1,80
3.78,159,1,90
3.73,146,1,80
3.28,148,0,62
3.43,150,1,68
3.59,160,0,71
3.82,141,0,60
3.97,158,1,91
3.34,141,1,73
3.58,140,1,68
3.31,149,0,60
3.76,166,1,92
3.38,155,1,82
3.81,149,0,73
3.5,149,1,77
3.28,146,1,76
3.53,144,1,73
3.02,148,0,61
3.42,152,1,71
3.08,153,0,64
3.29,146,0,56
3.86,147,0,70
3.83,148,1,88
3.51,149,0,66
3.36,141,0,67
3.23,146,1,77
3.14,148,1,71
3.97,165,0,92
3.02,149,0,52
3.44,142,0,63
3.13,149,1,75
3.4,138,1,70
3.74,150,1,85
3.19,149,1,58
3.59,150,0,64
3.58,150,0,66
3.29,150,0,58
3.56,160,1,80
3.06,145,1,74
3.49,162,0,66
3.4,145,0,57
3.75,144,0,67
3.96,155,0,68
3.47,147,1,72
3.86,150,0,66
3.6,152,0,67
3.38,155,0,65
3.36,154,1,82
3.44,145,1,78
3.42,149,1,78
3.38,150,1,65
3.69,158,1,76
3.61,151,1,72
3.83,157,0,66
3.73,147,0,68
3.62,149,1,74
2.96,142,1,60
3.24,143,0,56
3.58,161,0,76
3.6,147,0,64
3.55,162,1,79
3.26,155,0,71
3.27,157,0,67
3.16,141,0,59
3.88,150,0,69
3.53,149,1,63
3.67,157,0,73
3.66,154,0,78
3.23,146,1,73
3.06,150,1,80
3.82,145,0,63
3.65,150,1,76
3.2,161,1,77
3.44,154,0,61
3.6,139,1,73
3.63,152,0,69
3.73,151,0,73
3.63,153,0,69
3.37,147,1,71
3.59,159,1,77
3.99,156,1,75
3.71,159,0,59
3.26,143,1,68
3.32,160,0,67
3.71,160,0,76
3.47,157,0,69
3.37,144,0,63
3.38,151,0,64
3.42,151,0,69
3.64,150,1,69
3.9,154,0,81
3.68,158,1,85
3.33,144,0,56
3.36,157,0,66
3.82,151,1,77
3.33,154,0,69
3.64,139,1,62
3.36,146,1,72
3.56,153,1,79
3.63,151,0,70
3.42,149,1,77
3.4,134,0,54
3.45,154,1,75
3.5,152,1,78
3.09,150,0,60
3.29,150,0,61
3.68,155,0,77
3.65,157,0,75
3.57,158,0,68
3.76,150,0,71
3.53,157,0,73
3.43,143,1,70
3.54,149,1,79
3.58,149,1,76
3.42,153,1,78
3.34,161,0,69
3.13,145,1,65
3.06,136,1,68
3.24,140,1,70
3.32,138,1,66
3.74,161,0,72
3.27,142,1,63
3.56,150,0,62
3.79,145,1,69
3.5,148,1,76
3.48,151,1,72
3.59,160,0,71
3.48,154,1,75
3.57,152,0,69
3.67,151,0,69
3.35,149,1,75
3.3,138,0,51
3.61,141,0,64
3.07,161,1,69
3.24,149,1,76
3.42,156,0,66
3.57,149,1,71
3.75,155,0,71
3.62,146,0,60
3.55,163,0,70
2.91,144,0,53
3.83,153,0,75
3.51,146,1,72
3.15,137,1,63
3.62,157,0,67
3.48,156,0,72
3.52,148,0,62
3.85,152,1,77
3.09,151,0,62
3.4,138,1,63
3.5,156,0,66
3.42,145,1,64
3.37,147,0,56
3.41,154,0,74
3.6,147,0,63
3.23,143,1,70
3.83,161,1,79
3.12,146,1,74
3.55,158,0,66
3.57,154,0,65
3.7,154,0,73
3.77,153,0,60
3.52,145,0,71
3.66,160,1,84
3.65,139,1,74
3.88,155,1,81
3.61,155,1,82
3.68,142,0,62
3.85,162,0,68
3.67,156,0,79
3.84,148,1,80
3.79,145,1,76
3.65,141,0,63
3.41,150,0,62
3.63,156,1,71
3.68,145,0,58
3.57,142,0,63
3.66,135,0,55
3.81,156,0,81
3.75,153,0,67
3.74,154,0,71
3.5,145,1,71
3.66,140,0,60
3.06,145,1,67
3.67,154,0,68
3.4,154,1,80
3.09,151,1,75
3.33,157,0,67
3.61,152,1,73
3.47,148,0,64
3.43,145,0,67
3.74,145,0,68
3.71,142,0,66
3.51,148,1,69
3.55,153,0,69
3.63,151,0,62
3.36,134,1,64
3.51,153,1,81
3.33,145,0,59
3.28,140,0,58
3.63,161,0,66
3.67,159,0,69
3.5,162,0,70
3.8,144,1,74
3.69,154,0,65
3.47,150,1,73
3.26,143,0,57
3.91,165,0,79
3.85,152,0,65
3.43,141,1,64
3.45,153,1,75
3.42,149,0,59
3.03,152,0,64
3.88,153,0,71
3.68,149,1,81
3.57,149,0,72
3.42,152,1,85
3.29,149,1,72
3.86,151,1,86
3.44,156,1,75
3.25,154,1,79
3.57,154,1,83
3.11,152,0,63
3.34,148,1,78
3.5,138,1,63
3.77,154,0,71
3.8,157,0,69
3.5,149,1,70
3.42,160,0,64
3.62,150,1,81
3.5,144,0,60
3.7,146,1,73
3.3,154,1,84
3.22,147,1,75
3.03,137,1,62
3.27,143,0,60
3.46,154,1,74
3.2,152,0,65
3.21,145,1,60
3.65,148,1,67
3.45,152,0,67
3.72,140,1,72
3.3,150,0,62
3.01,152,1,66
3.62,141,1,71
3.21,151,1,69
3.2,145,1,73
3.67,152,1,74
3.27,151,1,78
3.22,143,0,67
3.82,149,1,79
3.19,140,1,66
3.59,153,0,70
3.5,153,1,82
3.78,150,1,77
3.45,144,1,66
3.6,143,0,62
3.51,150,0,68
3.47,154,0,68
3.81,162,0,74
3.2,140,1,73
3.44,151,0,64
3.59,160,0,67
3.56,157,0,70
3.68,154,1,77
3.36,140,1,68
3.52,157,0,65
3.56,159,0,64
3.37,147,0,53
3.43,149,1,70
3.42,146,0,68
3.52,147,1,70
3.32,141,1,69
3.61,152,1,74
3.55,152,0,63
3.59,160,0,71
3.77,160,0,73
3.42,144,1,69
3.37,150,1,77
3.18,158,0,64
3.25,146,1,71
3.73,156,1,81
3.64,152,1,78
3.9,161,0,70
3.74,161,0,78
3.68,156,1,86
3.55,150,1,78
2.75,155,0,63
3.29,151,0,61
3.6,155,0,75
3.77,149,1,75
3.16,148,0,57
3.56,154,0,67
3.49,142,1,65
3.82,139,1,71
3.7,145,0,65
3.43,139,1,75
3.42,149,0,64
3.75,149,0,69
3.27,150,0,55
3.79,150,0,62
3.25,148,0,61
3.77,154,1,73
3.55,149,1,78
3.55,157,1,73
3.04,145,0,68
3.74,153,0,68
3.21,161,1,76
3.35,144,1,71
3.7,163,0,76
3.47,145,1,79
3.6,140,1,72
3.48,147,0,63
3.56,157,0,73
3.69,142,1,69
3.51,155,0,70
3.05,139,1,70
3.52,152,0,66
3.28,159,1,78
3.13,140,1,72
3.5,149,1,71
3.21,151,0,61
3.52,150,1,76
3.32,144,0,63
3.1,146,0,59
3,148,0,59
3.4,148,1,81
3.64,148,0,63
3.98,162,0,77
3.62,156,0,71
3.79,153,1,77
3.49,155,0,63
3.28,142,0,59
3.3,161,0,67
3.72,162,0,65
3.43,155,0,70
3.74,155,1,85
3.61,162,0,69
3.43,136,1,77
3.54,159,0,63
3.29,143,1,79
3.7,156,0,68
3.53,148,0,67
3.44,152,1,74
3.43,148,1,74
3.54,157,1,84
3.38,148,1,75
3.55,158,0,68
3.5,152,1,80
3.59,146,0,66
3.45,153,0,70
3.61,134,1,72
3.63,154,0,66
3.12,146,0,66
3.49,160,0,67
3.76,158,0,69
3.74,142,0,60
3.14,145,1,68
3.36,140,0,66
3.89,150,0,72
3.77,143,1,77
3.54,153,1,71
3.29,152,1,79
3.2,154,1,77
3.72,154,0,65
3.44,150,0,67
3.66,157,1,80
3.57,165,1,83
3.17,161,0,70
3.08,138,1,63
3.63,145,0,61
3.41,158,0,69
3.65,157,0,80
3.48,149,1,76
3.69,155,1,83
3.49,146,1,73
3.88,147,1,73
3.41,160,0,75
3.41,162,0,67
3.48,151,0,62
3.67,154,1,76
3.55,151,1,73
3.38,146,0,60
3.67,149,0,70
3.47,156,1,81
3.27,148,0,65
3.37,143,0,66
3.58,158,1,77
3.48,145,1,67
3.22,142,1,71
3.21,146,0,56
3.35,151,0,60
3.65,156,0,78
3.64,155,0,63
3.46,151,1,77
3.63,148,0,64
3.2,151,0,61
2.88,139,1,69
3.73,152,0,67
3.49,132,1,66
3.75,152,0,69
3.77,154,0,64
3.24,147,0,55
3.41,154,1,72
3.12,153,1,83
3.64,149,1,80
3.27,155,1,81
3.15,151,1,79
3.93,155,0,77
3.53,158,0,74
3.46,150,0,63
3.7,159,0,74
3.4,147,0,66
3.42,149,1,75
3.26,145,1,65
3.6,150,0,65
3.73,148,0,71
3.62,154,0,61
3.64,141,1,69
3.85,151,0,72
3.15,146,1,72
3.57,147,0,66
3.57,157,0,71
3.43,143,1,69
3.43,150,1,70
3.4,153,0,70
3.58,148,1,73
3.43,141,1,64
3.62,153,1,71
3.22,150,0,60
3.76,148,1,76
3.33,144,0,58
3.72,154,1,81
3.37,151,0,58
3.48,156,1,75
3.79,154,0,72
3.54,141,0,61
3.75,142,0,62
3.58,135,1,71
3.53,150,1,79
3.1,152,1,74
3.48,148,0,58
3.8,164,0,75
3.97,161,1,86
3.31,138,1,64
3.39,145,0,65
3.39,155,1,69
3.73,147,0,68
3.83,163,0,67
3.25,145,0,60
3.55,142,1,72
2.95,139,1,61
3.59,141,0,57
3.34,153,0,63
3.26,141,1,68
3.65,146,1,84
2.99,153,0,58
3.8,155,1,90
3.08,144,1,64
3.26,152,0,62
3.51,162,0,65
3.4,157,1,85
2.9,138,0,55
3.34,150,1,75
3.51,155,0,70
3.51,149,0,65
3.55,147,0,58
3.64,153,0,65
3.46,154,0,68
3.2,138,1,72
3.42,143,1,71
3.48,154,1,69
3.46,156,1,69
3.71,159,0,67
3.73,148,0,70
3.66,163,1,87
3.46,151,0,66
3.56,142,0,63
3.34,145,1,64
3.24,154,1,80
3.28,144,0,60
3.3,159,1,87
3.71,151,0,70
3.91,143,1,75
3.53,153,1,82
3.79,144,1,68
3.31,153,0,65
3.48,141,0,58
3.67,159,0,68
3.26,150,1,72
3.68,144,1,68
3.94,161,0,72
3.26,159,0,56
3.33,142,1,67
3.14,148,0,65
3.72,145,0,70
3.51,167,0,75
3.44,140,1,68
3.44,146,1,66
3.49,148,0,72
3.29,150,0,57
3.77,152,0,73
3.13,150,0,54
3.7,141,1,73
3.82,149,0,70
3.68,148,0,73
3.42,143,1,75
3.29,139,1,70
3.56,146,1,72
3.54,144,0,65
3.53,161,0,68
3.38,144,1,75
3.36,146,1,77
3.35,154,1,77
3.75,147,0,63
3.86,150,1,84
3.56,150,1,76
3.58,140,1,77
3.28,141,0,59
3.56,151,1,83
3.72,145,0,69
3.32,151,1,74
3.66,153,0,69
3.39,142,1,63
3.37,136,1,73
3.57,152,0,69
2.81,137,1,66
3.23,143,0,58
3.26,147,0,62
3.42,145,1,73
3.14,143,0,60
3.57,156,1,77
3.77,160,0,73
3.16,145,1,65
3.08,144,1,71
3.61,152,1,75
3.47,162,0,71
3.64,146,1,72
3.41,154,0,70
3.19,160,1,71
3.45,143,1,78
3.79,161,0,72
3.84,150,0,67
3.88,158,0,75
3.27,144,0,51
3.37,160,0,69
3.29,140,0,52
2.84,136,1,67
3.17,146,1,66
3.56,149,0,62
3.44,161,0,69
3.61,148,1,77
3.45,140,1,65
3.8,167,0,76
3.4,148,1,73
3.56,150,0,67
3.36,155,0,59
3.84,153,1,84
3.69,147,1,78
3.65,147,0,64
3.37,154,1,78
3.1,154,0,63
3.24,144,1,69
3.36,147,0,63
3.48,154,1,81
3.16,146,0,62
3.83,157,0,66
3.55,159,0,67
3.32,154,1,79
3.46,144,0,58
3.92,161,0,74
3.59,136,1,73
3.39,154,0,71
3.36,156,0,66
3.12,146,0,66
3.46,154,1,79
3.06,144,1,65
2.99,136,1,64
3.33,156,0,69
3.41,148,0,66
3.49,156,0,66
3.82,153,0,68
3.3,150,0,67
3.68,163,0,72
3.23,148,0,56
3.46,160,0,69
3.56,150,0,66
3.54,155,1,73
3.69,161,0,80
3.15,146,1,73
3.64,148,0,56
3.35,140,1,59
3.74,161,0,77
3.38,145,1,74
2.9,149,0,61
3.41,147,0,62
3.4,136,1,76
3.69,153,1,72
3.61,146,1,71
3.68,151,0,62
2.95,149,0,60
3.35,145,0,56
3.25,152,1,74
3.68,154,0,72
3.81,146,0,60
3.31,139,1,71
3.67,155,0,77
3.51,155,0,63
3.77,146,0,71
3.16,146,0,58
3.68,162,1,88
3.15,151,1,79
3.24,143,0,60
3.94,149,0,76
3.63,150,0,67
3.46,161,0,59
3.44,153,1,88
3.25,142,1,55
3.64,151,1,80
2.99,154,1,66
3.76,158,0,82
3.51,163,0,72
3.41,142,0,59
3.8,143,0,65
3.28,149,0,57
3.21,140,1,63
3.63,147,0,64
3.83,147,0,68
3.59,158,0,67
3.58,148,1,76
3.8,159,0,77
3.81,149,0,73
3.44,145,0,64
3.79,160,1,88
3.51,150,1,73
3.41,145,0,57
3.9,141,1,74
3.48,149,0,66
3.87,149,0,73
3.33,157,1,82
3.03,139,1,68
3.37,147,0,51
3.48,136,1,63
3.59,150,0,66
3.7,161,0,74
3.62,157,1,78
3.54,135,1,61
3.59,149,0,63
3.19,137,1,66
3.14,142,0,49
3.68,154,0,72
3.97,161,0,74
3.57,159,0,69
4,153,0,75
3.98,148,1,80
3.42,146,1,74
3.43,146,1,74
3.34,155,1,75
3.34,151,1,80
3.42,156,1,76
3.47,141,0,64
3.61,148,0,66
3.3,145,0,62
2.95,151,1,72
3.46,155,1,80
3.95,163,0,78
3.31,147,0,63
3.44,150,1,69
3.5,147,0,60
3.45,149,0,57
3.66,149,1,81
3.52,150,1,76
3.67,142,1,73
3.72,152,0,62
3.31,137,0,55
3.92,164,0,78
3.64,158,0,79
3.84,154,0,69
2.86,144,1,74
3.58,144,0,60
3.44,139,1,72
3.56,148,1,76
3.61,142,1,72
2.98,150,0,52
3.76,148,0,71
3.08,154,0,57
3.49,142,1,62
3.47,151,0,63
3.32,152,1,77
3.67,163,1,88
3.6,155,0,68
3.26,143,0,59
3.24,152,0,68
3.72,160,1,76
3.4,154,1,79
3.89,149,0,72
3.33,154,1,76
3.67,155,0,64
3.46,152,0,63
3.6,149,1,74
3.26,149,0,63
3.63,162,1,79
3.72,158,1,78
3.17,139,0,63
3.66,159,0,71
3.53,146,1,76
3.68,145,1,77
3.52,138,0,56
3.43,151,0,68
3.69,160,0,73
3.72,150,1,76
3.68,143,1,66
3.45,149,0,74
3.67,157,0,79
3.57,157,1,68
3.83,143,0,60
3.68,157,0,70
3.58,144,0,63
3.53,163,0,73
3.79,159,0,66
3.38,144,1,72
3.53,152,1,82
3.88,143,0,63
2.69,147,1,72
3.45,161,0,71
3.73,154,1,87
3.23,147,0,61
3.51,162,0,67
3.54,151,1,72
3.54,151,0,68
3.68,153,0,70
3.59,149,1,76
3.56,148,0,66
3.38,148,0,64
3.78,149,0,66
3.46,161,0,64
3.72,144,0,63
3.62,155,0,63
3.59,153,0,64
3.68,157,1,81
3.47,151,0,66
3.68,151,0,65
3.86,151,1,74
3.5,156,0,68
3.52,157,0,72
3.25,152,0,69
3.49,149,1,80
3.98,155,0,68
3.87,140,1,75
3.57,167,0,75
3.73,161,0,71
3.41,139,1,66
3.64,147,0,60
3.64,159,0,71
3.69,155,0,71
3.32,152,0,62
3.67,160,1,87
3.39,146,1,69
2.98,152,0,61
3.1,147,1,67
3.22,150,0,63
3.04,150,1,76
3.67,157,1,81
3.43,147,0,64
3.55,147,1,70
3.93,148,1,84
3.24,140,0,58
3.4,141,1,74
3.28,150,1,70
3.16,143,0,56
3.83,155,0,74
3.23,159,0,61
3.84,144,1,80
3.23,142,1,69
3.65,150,0,72
3.07,145,0,58
3.2,156,1,80
3.33,153,1,73
3.46,155,0,66
3.89,158,0,72
3.27,153,0,65
3.64,160,0,71
3.38,150,0,68
3.82,167,0,71
3.48,149,1,68
3.75,161,0,78
3.45,155,1,67
3.48,152,0,67
3.25,154,0,70
3.58,155,1,76
3.84,156,0,73
3.51,164,0,67
3.5,153,1,88
3.42,155,0,69
3.42,142,0,54
3.3,145,0,66
2.96,143,1,69
3.63,154,0,75
3.56,153,0,72
3.23,148,1,74
3.28,156,1,74
3.42,155,1,70
3.31,156,0,64
3.09,144,0,55
3.91,160,1,80
3.27,149,1,73
3.28,161,1,82
3.7,145,1,72
3.22,164,1,77
3.47,160,1,78
3.67,149,1,76
3.64,153,0,79
3.52,147,1,79
3.82,145,1,78
3.8,159,0,76
3.7,142,0,58
3.93,157,0,70
3.56,160,1,89
3.46,151,0,69
3.86,156,1,83
