"","case","year","month","date","time","location","age","race","gender","type","history","history_num","bond","detention","trial","trial_status","result"
"43",43,2018,3,2018-03-10,"Before","Harris County",28,"White","Male","B",0,1,500,1,FALSE,"n/a","Guilty Plea"
"44",44,2019,11,2019-11-13,"Before","Harris County",31,"Other","Male","B",1,10,5000,9,FALSE,"n/a","Dismissed"
"45",45,2020,11,2020-11-18,"After","Harris County",40,"White","Male","B",1,3,0,1,FALSE,"n/a","Dismissed"
"46",46,2017,4,2017-04-05,"Before","Harris County",23,"Black","Male","B",1,3,1500,32,FALSE,"n/a","Guilty Plea"
"47",47,2022,8,2022-08-02,"After","Harris County",24,"White","Male","B",1,11,0,1,TRUE,"Released","Acquitted"
"48",48,2021,2,2021-02-22,"After","Other Place",38,"White","Male","B",0,1,500,1,FALSE,"n/a","Guilty Plea"
"49",49,2021,3,2021-03-09,"After","Other Place",31,"Black","Female","A",1,4,4000,18,FALSE,"n/a","Guilty Plea"
"50",50,2022,12,2022-12-03,"After","Harris County",42,"Latinx","Male","B",1,6,0,1,FALSE,"n/a","Dismissed"
"51",51,2018,2,2018-02-02,"Before","Other Place",32,"Black","Male","B",1,4,2000,1,FALSE,"n/a","Dismissed"
"52",52,2019,11,2019-11-25,"Before","Harris County",31,"Black","Female","B",1,7,3500,35,FALSE,"n/a","Dismissed"
"53",53,2019,6,2019-06-21,"Before","Other Place",30,"Latinx","Male","A",1,10,5000,1,FALSE,"n/a","Guilty Plea"
"54",54,2017,2,2017-02-05,"Before","Other Place",37,"White","Male","B",0,1,500,1,FALSE,"n/a","Dismissed"
"55",55,2018,11,2018-11-04,"Before","Other Place",29,"Black","Male","B",1,7,3500,18,FALSE,"n/a","Dismissed"
"56",56,2018,12,2018-12-11,"Before","Other Place",37,"Latinx","Male","B",1,5,2500,8,FALSE,"n/a","Guilty Plea"
"57",57,2018,6,2018-06-23,"Before","Other Place",43,"White","Male","B",1,4,2000,15,FALSE,"n/a","Guilty Plea"
"58",58,2022,2,2022-02-22,"After","Harris County",28,"White","Male","B",1,13,0,1,FALSE,"n/a","Guilty Plea"
"59",59,2019,4,2019-04-15,"Before","Harris County",35,"White","Male","A",1,2,2000,16,FALSE,"n/a","Guilty Plea"
"60",60,2018,9,2018-09-28,"Before","Harris County",31,"Latinx","Male","B",0,1,500,7,FALSE,"n/a","Dismissed"
"61",61,2020,2,2020-02-23,"After","Other Place",25,"White","Female","B",1,6,3000,1,FALSE,"n/a","Dismissed"
"62",62,2022,10,2022-10-10,"After","Other Place",24,"Latinx","Male","Violent",1,6,9000,6,FALSE,"n/a","Guilty Plea"
"63",63,2022,8,2022-08-18,"After","Other Place",27,"White","Male","B",1,9,4500,8,FALSE,"n/a","Guilty Plea"
"64",64,2020,1,2020-01-03,"After","Other Place",31,"Black","Male","B",1,2,1000,21,FALSE,"n/a","Guilty Plea"
"65",65,2018,12,2018-12-21,"Before","Other Place",32,"Latinx","Female","B",1,10,5000,74,FALSE,"n/a","Guilty Plea"
"66",66,2020,2,2020-02-12,"After","Other Place",31,"Latinx","Male","B",1,12,5000,11,FALSE,"n/a","Guilty Plea"
"67",67,2022,8,2022-08-03,"After","Harris County",21,"Black","Male","Violent",0,1,0,1,TRUE,"Released","Convicted"
"68",68,2021,8,2021-08-14,"After","Harris County",38,"Black","Female","B",0,1,0,1,TRUE,"Released","Acquitted"
"69",69,2019,8,2019-08-09,"Before","Harris County",28,"White","Female","B",1,10,5000,225,FALSE,"n/a","Dismissed"
"70",70,2019,1,2019-01-13,"Before","Other Place",32,"Black","Male","B",1,6,3000,10,FALSE,"n/a","Guilty Plea"
"71",71,2022,10,2022-10-20,"After","Other Place",21,"Black","Male","Violent",0,1,1500,1,FALSE,"n/a","Guilty Plea"
"72",72,2022,11,2022-11-24,"After","Harris County",36,"White","Male","B",1,2,0,1,FALSE,"n/a","Dismissed"
"73",73,2019,4,2019-04-25,"Before","Other Place",28,"Black","Female","B",1,4,2000,9,FALSE,"n/a","Dismissed"
"74",74,2021,7,2021-07-31,"After","Other Place",31,"Black","Male","Violent",1,11,10000,141,FALSE,"n/a","Dismissed"
"75",75,2017,7,2017-07-17,"Before","Other Place",39,"Black","Male","B",0,1,500,11,FALSE,"n/a","Guilty Plea"
"76",76,2018,9,2018-09-21,"Before","Other Place",36,"Latinx","Male","A",1,2,2000,1,FALSE,"n/a","Guilty Plea"
"77",77,2019,9,2019-09-27,"Before","Harris County",44,"White","Male","A",1,4,4000,3,FALSE,"n/a","Guilty Plea"
"78",78,2022,3,2022-03-22,"After","Harris County",29,"White","Male","B",1,2,0,1,TRUE,"Released","Acquitted"
"79",79,2018,12,2018-12-24,"Before","Other Place",21,"Latinx","Male","B",1,19,5000,180,FALSE,"n/a","Guilty Plea"
"80",80,2019,2,2019-02-06,"Before","Other Place",41,"Latinx","Male","B",1,9,4500,19,FALSE,"n/a","Guilty Plea"
"81",81,2022,10,2022-10-17,"After","Other Place",39,"Latinx","Male","B",1,4,2000,1,FALSE,"n/a","Guilty Plea"
"82",82,2018,9,2018-09-12,"Before","Harris County",47,"Black","Male","B",1,11,5000,72,FALSE,"n/a","Dismissed"
"83",83,2020,12,2020-12-10,"After","Other Place",48,"White","Male","B",1,2,1000,38,FALSE,"n/a","Dismissed"
"84",84,2018,2,2018-02-16,"Before","Harris County",21,"Black","Male","A",1,2,2000,7,FALSE,"n/a","Guilty Plea"
"85",85,2020,3,2020-03-17,"After","Harris County",37,"Black","Male","B",1,9,0,1,TRUE,"Released","Acquitted"
"86",86,2018,2,2018-02-05,"Before","Other Place",41,"Black","Male","B",0,1,500,27,FALSE,"n/a","Guilty Plea"
"87",87,2021,1,2021-01-15,"After","Other Place",21,"Black","Male","B",0,1,500,52,FALSE,"n/a","Guilty Plea"
"88",88,2020,10,2020-10-05,"After","Other Place",40,"Black","Male","B",1,5,2500,26,FALSE,"n/a","Guilty Plea"
"89",89,2020,2,2020-02-24,"After","Harris County",18,"Black","Female","B",0,1,0,1,FALSE,"n/a","Guilty Plea"
"90",90,2021,11,2021-11-25,"After","Harris County",21,"Black","Male","Violent",1,3,0,1,FALSE,"n/a","Guilty Plea"
"91",91,2017,3,2017-03-31,"Before","Harris County",49,"White","Male","B",1,19,5000,5,FALSE,"n/a","Dismissed"
"92",92,2017,8,2017-08-07,"Before","Other Place",20,"Black","Female","A",1,5,5000,21,FALSE,"n/a","Guilty Plea"
"93",93,2019,5,2019-05-25,"Before","Other Place",41,"Black","Male","B",1,9,4500,22,FALSE,"n/a","Guilty Plea"
"94",94,2019,9,2019-09-01,"Before","Harris County",26,"Black","Male","B",1,2,1000,22,FALSE,"n/a","Guilty Plea"
"95",95,2020,3,2020-03-06,"After","Harris County",20,"Black","Male","B",1,2,0,1,TRUE,"Released","Acquitted"
"96",96,2018,12,2018-12-17,"Before","Harris County",24,"White","Female","B",0,1,500,19,FALSE,"n/a","Dismissed"
"97",97,2021,8,2021-08-22,"After","Other Place",27,"White","Male","A",1,13,5000,84,FALSE,"n/a","Guilty Plea"
"98",98,2019,8,2019-08-18,"Before","Harris County",26,"White","Male","Violent",0,1,1500,21,FALSE,"n/a","Guilty Plea"
"99",99,2018,1,2018-01-09,"Before","Other Place",18,"White","Male","Violent",1,4,6000,7,FALSE,"n/a","Guilty Plea"
"100",100,2022,1,2022-01-21,"After","Harris County",24,"Latinx","Male","B",1,2,0,1,FALSE,"n/a","Guilty Plea"
"101",101,2021,3,2021-03-02,"After","Other Place",30,"White","Male","B",1,6,3000,101,FALSE,"n/a","Guilty Plea"
"102",102,2020,12,2020-12-14,"After","Other Place",24,"Latinx","Male","B",1,4,2000,12,FALSE,"n/a","Guilty Plea"
"103",103,2018,5,2018-05-07,"Before","Other Place",28,"Black","Male","B",1,17,5000,37,FALSE,"n/a","Guilty Plea"
"104",104,2017,6,2017-06-17,"Before","Harris County",35,"White","Male","B",0,1,500,77,FALSE,"n/a","Guilty Plea"
"105",105,2019,12,2019-12-31,"Before","Other Place",22,"White","Male","Violent",1,2,3000,1,FALSE,"n/a","Guilty Plea"
"106",106,2021,3,2021-03-13,"After","Harris County",41,"Black","Male","B",1,15,0,1,FALSE,"n/a","Dismissed"
"107",107,2022,8,2022-08-03,"After","Harris County",43,"White","Male","B",1,9,0,1,FALSE,"n/a","Guilty Plea"
"108",108,2019,9,2019-09-11,"Before","Harris County",25,"White","Male","B",1,15,5000,132,FALSE,"n/a","Guilty Plea"
"109",109,2019,1,2019-01-13,"Before","Other Place",26,"Black","Male","A",1,5,5000,1,TRUE,"Released","Acquitted"
"110",110,2018,4,2018-04-24,"Before","Other Place",24,"Other","Male","B",1,2,1000,25,FALSE,"n/a","Guilty Plea"
"111",111,2019,5,2019-05-31,"Before","Other Place",22,"White","Female","B",1,3,1500,33,FALSE,"n/a","Guilty Plea"
"112",112,2017,8,2017-08-23,"Before","Other Place",22,"Black","Male","Violent",0,1,1500,1,FALSE,"n/a","Guilty Plea"
"113",113,2021,1,2021-01-18,"After","Harris County",22,"White","Male","Violent",0,1,0,1,FALSE,"n/a","Guilty Plea"
"114",114,2018,5,2018-05-02,"Before","Other Place",21,"White","Male","Violent",1,3,4500,1,FALSE,"n/a","Dismissed"
"115",115,2022,5,2022-05-29,"After","Harris County",50,"Other","Female","A",1,10,0,1,FALSE,"n/a","Dismissed"
"116",116,2018,4,2018-04-26,"Before","Harris County",49,"Black","Male","Violent",1,25,10000,35,FALSE,"n/a","Guilty Plea"
"117",117,2019,1,2019-01-22,"Before","Other Place",34,"White","Male","B",0,1,500,1,FALSE,"n/a","Dismissed"
"118",118,2020,1,2020-01-17,"After","Harris County",49,"Black","Male","B",1,7,0,1,TRUE,"Released","Acquitted"
"119",119,2017,1,2017-01-13,"Before","Harris County",30,"Black","Female","B",1,29,5000,34,FALSE,"n/a","Dismissed"
"120",120,2021,6,2021-06-19,"After","Harris County",41,"Latinx","Male","A",1,3,0,1,FALSE,"n/a","Dismissed"
"121",121,2020,7,2020-07-06,"After","Harris County",22,"White","Male","Violent",1,2,0,1,TRUE,"Released","Acquitted"
"122",122,2019,4,2019-04-19,"Before","Harris County",44,"White","Male","B",1,29,5000,11,FALSE,"n/a","Dismissed"
"123",123,2022,4,2022-04-17,"After","Harris County",20,"White","Male","B",1,4,0,1,FALSE,"n/a","Dismissed"
"124",124,2020,3,2020-03-29,"After","Harris County",25,"White","Male","Violent",1,20,0,1,FALSE,"n/a","Dismissed"
"125",125,2020,7,2020-07-28,"After","Harris County",26,"Latinx","Male","B",1,4,0,1,FALSE,"n/a","Guilty Plea"
"126",126,2018,8,2018-08-31,"Before","Harris County",31,"White","Male","B",1,12,5000,1,FALSE,"n/a","Guilty Plea"
"127",127,2017,5,2017-05-10,"Before","Harris County",19,"Latinx","Male","Violent",1,3,4500,169,TRUE,"Detained","Convicted"
"128",128,2019,12,2019-12-30,"Before","Other Place",42,"Latinx","Male","Violent",1,2,3000,31,FALSE,"n/a","Dismissed"
"129",129,2021,2,2021-02-23,"After","Harris County",39,"Black","Male","A",1,12,0,1,FALSE,"n/a","Guilty Plea"
"130",130,2022,4,2022-04-25,"After","Other Place",31,"Latinx","Male","A",1,9,5000,34,FALSE,"n/a","Guilty Plea"
"131",131,2020,10,2020-10-08,"After","Harris County",38,"Black","Male","A",1,12,0,1,FALSE,"n/a","Guilty Plea"
"132",132,2021,8,2021-08-31,"After","Harris County",35,"White","Male","B",1,2,0,1,TRUE,"Released","Acquitted"
"133",133,2017,9,2017-09-07,"Before","Harris County",33,"Black","Male","B",0,1,500,53,FALSE,"n/a","Dismissed"
"134",134,2020,8,2020-08-27,"After","Other Place",22,"White","Male","B",1,4,2000,33,FALSE,"n/a","Dismissed"
"135",135,2021,12,2021-12-25,"After","Harris County",20,"Black","Male","B",1,10,0,1,TRUE,"Released","Acquitted"
"136",136,2022,5,2022-05-26,"After","Harris County",31,"Black","Female","B",1,5,0,1,FALSE,"n/a","Guilty Plea"
"137",137,2022,7,2022-07-18,"After","Harris County",28,"Black","Male","B",0,1,0,1,FALSE,"n/a","Dismissed"
"138",138,2017,7,2017-07-21,"Before","Harris County",23,"White","Male","B",1,12,5000,1,FALSE,"n/a","Guilty Plea"
"139",139,2021,7,2021-07-21,"After","Other Place",25,"Black","Male","B",1,8,4000,45,FALSE,"n/a","Guilty Plea"
"140",140,2020,4,2020-04-25,"After","Other Place",23,"Latinx","Female","B",1,4,2000,1,FALSE,"n/a","Guilty Plea"
"141",141,2018,12,2018-12-18,"Before","Harris County",36,"Black","Male","Violent",1,7,10000,26,FALSE,"n/a","Guilty Plea"
"142",142,2018,9,2018-09-08,"Before","Other Place",31,"Black","Male","Violent",1,2,3000,1,FALSE,"n/a","Guilty Plea"
"143",143,2017,6,2017-06-13,"Before","Harris County",38,"Latinx","Male","B",1,11,5000,51,FALSE,"n/a","Guilty Plea"
"144",144,2022,11,2022-11-28,"After","Harris County",21,"Black","Male","Violent",1,5,0,1,FALSE,"n/a","Guilty Plea"
"145",145,2022,8,2022-08-11,"After","Other Place",38,"White","Male","A",0,1,1000,21,FALSE,"n/a","Guilty Plea"
"146",146,2017,12,2017-12-04,"Before","Harris County",61,"Black","Male","Violent",1,29,10000,45,FALSE,"n/a","Guilty Plea"
"147",147,2021,6,2021-06-10,"After","Other Place",32,"Black","Female","A",1,8,5000,1,FALSE,"n/a","Dismissed"
"148",148,2018,11,2018-11-08,"Before","Other Place",49,"White","Male","A",1,20,5000,48,FALSE,"n/a","Guilty Plea"
"149",149,2022,4,2022-04-16,"After","Harris County",42,"Black","Male","B",0,1,0,1,FALSE,"n/a","Guilty Plea"
"150",150,2021,11,2021-11-18,"After","Other Place",33,"White","Male","B",1,7,3500,1,FALSE,"n/a","Dismissed"
"151",151,2022,11,2022-11-22,"After","Harris County",22,"White","Male","B",1,4,0,1,TRUE,"Released","Acquitted"
"152",152,2018,5,2018-05-11,"Before","Harris County",24,"White","Male","B",1,10,5000,41,FALSE,"n/a","Dismissed"
"153",153,2021,12,2021-12-22,"After","Other Place",29,"Black","Male","B",0,1,500,1,FALSE,"n/a","Guilty Plea"
"154",154,2020,7,2020-07-17,"After","Harris County",37,"White","Male","B",1,12,0,1,FALSE,"n/a","Guilty Plea"
"155",155,2020,12,2020-12-08,"After","Other Place",41,"Black","Female","B",0,1,500,105,TRUE,"Detained","Acquitted"
"156",156,2020,12,2020-12-18,"After","Other Place",36,"White","Male","Violent",1,3,4500,220,FALSE,"n/a","Guilty Plea"
"157",157,2019,9,2019-09-12,"Before","Other Place",42,"Black","Male","Violent",0,1,1500,29,FALSE,"n/a","Guilty Plea"
"158",158,2019,8,2019-08-11,"Before","Other Place",41,"White","Male","B",1,7,3500,33,FALSE,"n/a","Dismissed"
"159",159,2017,3,2017-03-24,"Before","Harris County",27,"Black","Male","B",1,4,2000,68,FALSE,"n/a","Guilty Plea"
"160",160,2021,10,2021-10-15,"After","Other Place",25,"White","Female","B",1,6,3000,116,FALSE,"n/a","Guilty Plea"
"161",161,2022,8,2022-08-01,"After","Harris County",29,"Black","Male","Violent",1,14,0,1,FALSE,"n/a","Guilty Plea"
"162",162,2020,5,2020-05-04,"After","Other Place",20,"Black","Female","B",1,2,1000,12,FALSE,"n/a","Guilty Plea"
"163",163,2017,11,2017-11-09,"Before","Harris County",27,"Other","Male","B",1,4,2000,126,TRUE,"Released","Acquitted"
"164",164,2020,3,2020-03-20,"After","Harris County",30,"Latinx","Male","A",1,9,0,1,FALSE,"n/a","Guilty Plea"
"165",165,2019,2,2019-02-11,"Before","Other Place",45,"White","Male","B",0,1,500,1,FALSE,"n/a","Guilty Plea"
"166",166,2020,5,2020-05-02,"After","Harris County",34,"Latinx","Male","B",1,9,0,1,FALSE,"n/a","Guilty Plea"
"167",167,2022,1,2022-01-21,"After","Harris County",36,"Black","Female","B",1,2,0,1,FALSE,"n/a","Dismissed"
"168",168,2017,5,2017-05-19,"Before","Harris County",22,"White","Male","B",1,16,5000,14,FALSE,"n/a","Dismissed"
"169",169,2020,12,2020-12-29,"After","Harris County",31,"Black","Male","B",1,2,0,1,FALSE,"n/a","Guilty Plea"
"170",170,2017,1,2017-01-12,"Before","Harris County",30,"Black","Male","B",1,4,2000,35,FALSE,"n/a","Guilty Plea"
"171",171,2018,4,2018-04-27,"Before","Other Place",43,"Black","Female","B",0,1,500,86,FALSE,"n/a","Guilty Plea"
"172",172,2017,1,2017-01-06,"Before","Harris County",46,"Black","Male","A",1,11,5000,30,FALSE,"n/a","Guilty Plea"
"173",173,2021,12,2021-12-30,"After","Other Place",31,"Black","Male","B",1,8,4000,93,FALSE,"n/a","Guilty Plea"
"174",174,2021,8,2021-08-06,"After","Other Place",22,"Black","Male","Violent",0,1,1500,5,FALSE,"n/a","Guilty Plea"
"175",175,2021,5,2021-05-16,"After","Other Place",34,"Black","Male","B",1,4,2000,179,FALSE,"n/a","Guilty Plea"
"176",176,2019,11,2019-11-09,"Before","Harris County",46,"Black","Male","B",0,1,500,165,FALSE,"n/a","Guilty Plea"
"177",177,2020,1,2020-01-20,"After","Harris County",26,"White","Female","B",1,11,0,1,FALSE,"n/a","Dismissed"
"178",178,2021,8,2021-08-22,"After","Harris County",22,"White","Male","A",0,1,0,1,FALSE,"n/a","Guilty Plea"
"179",179,2019,5,2019-05-07,"Before","Harris County",29,"Black","Male","Violent",0,1,1500,21,FALSE,"n/a","Guilty Plea"
"180",180,2022,8,2022-08-02,"After","Harris County",35,"White","Male","B",1,5,0,1,FALSE,"n/a","Dismissed"
"181",181,2018,12,2018-12-07,"Before","Other Place",23,"Latinx","Male","Violent",1,3,4500,83,FALSE,"n/a","Dismissed"
"182",182,2019,2,2019-02-27,"Before","Other Place",43,"Latinx","Male","B",0,1,500,30,FALSE,"n/a","Guilty Plea"
"183",183,2021,11,2021-11-22,"After","Other Place",44,"Latinx","Male","A",1,7,5000,1,FALSE,"n/a","Guilty Plea"
"184",184,2021,9,2021-09-01,"After","Other Place",32,"Latinx","Male","B",0,1,500,1,FALSE,"n/a","Guilty Plea"
"185",185,2021,6,2021-06-22,"After","Harris County",33,"Latinx","Male","B",1,2,0,1,TRUE,"Released","Acquitted"
"186",186,2019,5,2019-05-09,"Before","Other Place",39,"White","Male","B",0,1,500,155,FALSE,"n/a","Dismissed"
"187",187,2017,1,2017-01-08,"Before","Other Place",34,"Latinx","Male","B",0,1,500,5,FALSE,"n/a","Dismissed"
"188",188,2020,12,2020-12-18,"After","Other Place",25,"White","Male","B",1,2,1000,5,FALSE,"n/a","Guilty Plea"
"189",189,2018,1,2018-01-10,"Before","Harris County",25,"Black","Male","Violent",0,1,1500,131,FALSE,"n/a","Guilty Plea"
"190",190,2020,8,2020-08-14,"After","Other Place",24,"White","Male","Violent",0,1,1500,1,FALSE,"n/a","Guilty Plea"
"191",191,2019,6,2019-06-15,"Before","Harris County",18,"Latinx","Male","B",1,10,5000,15,FALSE,"n/a","Guilty Plea"
"192",192,2017,3,2017-03-22,"Before","Harris County",45,"White","Male","B",1,3,1500,123,FALSE,"n/a","Guilty Plea"
"193",193,2019,8,2019-08-01,"Before","Other Place",44,"Latinx","Female","B",1,8,4000,1,FALSE,"n/a","Guilty Plea"
"194",194,2018,10,2018-10-26,"Before","Harris County",24,"White","Male","Violent",0,1,1500,10,FALSE,"n/a","Dismissed"
"195",195,2021,10,2021-10-27,"After","Harris County",31,"Latinx","Male","B",0,1,0,1,FALSE,"n/a","Dismissed"
"196",196,2019,12,2019-12-02,"Before","Other Place",25,"Latinx","Male","Violent",1,6,9000,1,FALSE,"n/a","Guilty Plea"
"197",197,2019,5,2019-05-17,"Before","Harris County",29,"Black","Male","A",1,3,3000,1,FALSE,"n/a","Guilty Plea"
"198",198,2019,12,2019-12-21,"Before","Other Place",35,"Black","Male","Violent",1,10,10000,4,FALSE,"n/a","Guilty Plea"
"199",199,2020,6,2020-06-09,"After","Other Place",22,"Black","Male","B",0,1,500,27,FALSE,"n/a","Guilty Plea"
"200",200,2017,10,2017-10-27,"Before","Harris County",31,"White","Male","B",1,3,1500,4,FALSE,"n/a","Dismissed"
"201",201,2021,7,2021-07-09,"After","Other Place",21,"Black","Female","A",1,7,5000,1,FALSE,"n/a","Guilty Plea"
"202",202,2018,11,2018-11-01,"Before","Other Place",59,"White","Male","B",1,19,5000,49,FALSE,"n/a","Guilty Plea"
"203",203,2019,2,2019-02-07,"Before","Harris County",36,"Black","Male","Violent",0,1,1500,3,FALSE,"n/a","Guilty Plea"
"204",204,2017,1,2017-01-04,"Before","Other Place",56,"Black","Male","B",1,8,4000,9,FALSE,"n/a","Guilty Plea"
"205",205,2017,2,2017-02-02,"Before","Harris County",31,"Latinx","Male","A",1,2,2000,5,FALSE,"n/a","Guilty Plea"
"206",206,2020,7,2020-07-21,"After","Other Place",31,"White","Male","A",1,10,5000,30,FALSE,"n/a","Guilty Plea"
"207",207,2018,6,2018-06-15,"Before","Other Place",21,"Black","Male","B",1,30,5000,1,FALSE,"n/a","Dismissed"
"208",208,2020,10,2020-10-15,"After","Other Place",33,"White","Male","Violent",0,1,1500,81,FALSE,"n/a","Guilty Plea"
"209",209,2022,1,2022-01-23,"After","Harris County",43,"White","Male","B",0,1,0,1,FALSE,"n/a","Guilty Plea"
"210",210,2019,12,2019-12-06,"Before","Harris County",33,"White","Female","B",0,1,500,48,FALSE,"n/a","Guilty Plea"
"211",211,2022,7,2022-07-15,"After","Other Place",32,"White","Male","B",1,31,5000,1,FALSE,"n/a","Dismissed"
"212",212,2022,12,2022-12-23,"After","Harris County",21,"Black","Male","B",1,10,0,1,FALSE,"n/a","Guilty Plea"
"213",213,2017,1,2017-01-15,"Before","Harris County",40,"Black","Male","A",1,9,5000,24,FALSE,"n/a","Guilty Plea"
"214",214,2019,2,2019-02-21,"Before","Other Place",41,"Black","Male","A",1,7,5000,1,FALSE,"n/a","Guilty Plea"
"215",215,2019,12,2019-12-30,"Before","Harris County",18,"White","Male","B",0,1,500,29,FALSE,"n/a","Guilty Plea"
"216",216,2018,2,2018-02-17,"Before","Other Place",20,"White","Female","B",1,4,2000,231,FALSE,"n/a","Dismissed"
"217",217,2021,10,2021-10-03,"After","Harris County",28,"White","Male","Violent",1,16,0,1,FALSE,"n/a","Dismissed"
"218",218,2021,1,2021-01-09,"After","Harris County",32,"White","Male","A",1,3,0,1,FALSE,"n/a","Dismissed"
