gpa,gre,camp,grade
3.72,160,0,76
3.16,152,1,69
3.65,149,1,73
3.73,156,0,62
3.13,152,1,77
3.62,153,0,68
3.41,153,0,75
3.69,150,1,84
3.86,151,1,84
3.65,158,1,74
3.58,162,1,89
2.73,147,1,58
3.66,161,0,64
3.87,163,0,70
3.82,155,0,72
3.63,146,0,61
3.37,162,1,75
3.87,154,0,61
2.98,139,1,63
3.5,139,0,64
3.08,163,0,65
3.35,145,1,66
3.79,147,1,71
3.2,149,0,58
3.57,153,1,81
3.22,138,1,58
3.56,153,0,71
3.43,163,0,68
3.24,153,0,66
3.25,134,1,62
3.42,159,0,65
3.24,156,0,71
3.4,141,1,67
3.41,149,0,60
3.87,144,0,68
3.34,148,0,55
3.11,139,1,61
3.51,147,1,75
3.99,148,0,71
3.53,156,0,69
3.42,152,0,65
3.53,150,0,62
3.45,146,1,74
3.32,159,0,74
3.46,154,1,83
3.59,143,0,66
3.58,155,0,63
3.75,157,0,73
3.11,153,0,59
3.11,139,0,54
3.28,156,0,60
3.9,157,0,68
3.33,145,1,72
3.54,153,0,67
3.19,146,1,72
3.67,161,0,70
3.25,146,0,69
3.78,154,1,81
3.48,149,0,60
3.6,135,1,74
3.46,150,0,60
3.36,148,1,68
3.79,147,1,75
3.38,150,1,76
3.58,160,0,74
3.29,164,1,77
3.75,150,1,74
3.85,149,0,69
3.15,150,1,75
3.33,159,0,60
3.85,147,1,66
3.54,147,1,74
3.5,163,0,67
3.64,151,1,72
3.9,146,1,82
3.2,159,0,69
3.36,153,0,68
3.29,159,0,74
3.58,145,0,56
3.3,137,1,70
3.23,147,1,71
3.79,157,1,72
3.61,154,0,78
3.45,148,0,69
3.29,141,0,60
2.99,150,1,69
3.62,154,0,72
3.49,148,0,63
3.79,155,0,73
3.35,142,1,72
3.4,159,0,74
3.79,159,1,82
3.62,137,1,70
3.21,149,1,61
3.21,141,1,70
3.97,151,0,68
3.63,148,1,75
3.95,163,0,77
3.73,147,1,79
3.56,134,1,68
3.28,143,1,71
3.8,147,0,69
3.18,143,1,63
3.27,151,1,72
3.61,158,1,84
3.89,160,0,78
3.82,144,1,71
3.75,164,0,75
3.66,162,0,71
3.23,155,0,58
3.71,144,1,67
3.59,138,1,76
3.3,146,1,70
3.03,152,1,69
3.69,151,1,72
3.33,143,0,54
3.19,153,1,78
3.65,152,0,73
3.57,157,0,63
3.64,156,0,67
3.59,161,0,73
3.8,155,0,67
3.56,146,1,70
3.41,145,1,75
3.13,155,1,78
3.59,145,1,71
3.61,144,0,57
3.26,152,0,71
3.29,158,0,63
3.46,144,1,67
3.48,149,1,72
3.51,151,1,74
3.81,154,0,63
3.36,147,1,66
3.52,153,1,63
3.46,161,1,79
3.58,154,0,64
3.4,147,1,74
3.74,156,0,73
3.64,158,0,71
3.19,156,1,74
3.78,147,1,80
3.16,139,1,70
3.48,151,1,76
3.13,141,1,68
3.72,154,1,75
3.76,149,0,71
3.45,150,0,66
3.62,159,0,73
3.64,158,0,73
3.42,158,0,74
3.28,151,1,75
3.91,159,1,89
3.79,158,1,80
3.35,144,1,65
3.66,147,1,79
3.93,152,1,77
3.69,150,1,80
3.31,138,1,60
3.68,163,1,89
3.46,145,1,74
3.42,152,1,75
3.29,150,1,75
3.38,137,1,67
3.36,149,1,67
3.37,143,0,65
3.47,153,0,66
3.82,157,0,67
3.15,153,1,72
3.48,149,1,79
3.58,147,1,79
3.59,147,0,55
3.65,145,0,68
3.43,147,0,71
3.3,146,1,68
3.16,154,0,70
3.29,149,0,60
3.09,148,1,75
3.48,157,0,73
3.5,147,0,62
3.21,151,1,74
3.35,142,1,71
3.42,151,1,80
3.14,144,1,68
3.45,151,1,72
3.12,144,1,65
3.65,155,0,74
3.47,149,0,63
3.57,145,0,66
3.79,154,0,65
3.61,150,0,61
3.32,157,1,75
3.46,158,1,79
3,142,1,66
3.25,163,0,71
3.31,151,0,68
3.48,139,1,75
3.43,145,1,74
3.4,147,1,75
3.21,152,1,76
3.64,150,1,77
3.84,161,0,73
3.27,152,1,70
3.56,150,0,67
3.55,155,1,86
3.43,150,0,62
3.36,155,0,63
3.33,144,1,65
3.2,161,0,63
3.61,146,1,72
3.69,155,0,72
3.84,166,0,75
3.89,153,0,80
3.16,151,1,70
3.85,147,0,62
3.63,136,1,63
3.9,141,1,64
3.19,142,0,52
3.12,142,1,68
3.57,155,1,78
3.24,157,1,71
3.35,159,0,60
3.38,145,0,59
3.08,141,0,62
3.84,154,0,63
3.6,151,1,74
3.58,159,0,71
3.58,147,1,75
3.72,142,1,68
3.32,149,1,81
3.36,150,1,71
3.86,158,1,79
3.66,157,0,71
3.81,149,0,67
3.51,156,0,65
3.12,150,1,74
3.52,154,0,66
3.66,150,1,71
3.12,156,1,73
3.64,151,0,64
3.62,151,1,76
3.64,159,0,77
3.85,148,1,83
3.75,150,0,67
3.44,161,0,70
3.32,155,1,71
3.29,160,1,77
3.44,140,0,59
3.17,148,0,59
3.29,146,0,68
3.08,141,1,74
3.25,159,1,77
3.93,167,0,79
2.93,148,0,58
3.36,142,0,56
3.67,154,1,80
3.72,154,0,69
3.42,153,0,64
3.85,160,0,69
3.48,149,1,75
3.05,153,0,66
3.04,146,1,63
3.63,154,1,77
3.14,153,0,59
3.45,151,1,72
3.88,156,1,75
3.46,147,0,65
3.32,148,1,65
3.76,153,1,73
3.53,143,1,73
3.61,152,0,61
3.82,157,1,82
3.92,147,0,64
3.37,151,0,70
2.99,147,1,67
3.68,152,1,74
3.27,146,1,64
3.27,143,0,55
3.69,161,0,71
3.42,158,1,88
3.74,161,1,84
3.16,156,1,71
3.37,163,0,70
3.46,155,0,66
3.47,139,1,67
3.12,145,1,71
3.48,153,0,72
3.48,159,0,73
3.69,157,1,76
3.57,148,1,72
2.8,155,1,66
3.27,136,1,63
3.82,160,0,73
3.51,144,1,68
3.42,150,1,77
3.25,141,1,69
3.62,145,1,74
3.62,160,0,76
3.62,153,0,67
3.39,165,1,80
3.31,145,1,72
3.51,150,1,68
3.71,151,0,69
3.52,148,1,77
3.71,146,0,68
3.6,158,1,78
3.51,156,0,60
3.57,150,1,74
3.39,147,1,71
3.02,146,1,70
3.46,156,0,69
3.56,154,1,79
3.48,150,1,75
3.37,156,1,75
3.34,156,0,64
3.09,140,0,44
3.23,143,1,67
3.4,151,1,72
3.3,143,0,54
3.83,158,0,68
3.88,149,1,77
3.36,146,1,68
3.97,167,0,82
3.29,145,1,74
3.49,159,0,61
3.42,160,0,68
3.34,152,1,68
3.26,149,1,76
3.02,151,0,64
3.62,142,1,75
3.41,154,0,64
3.41,153,1,76
3.18,146,0,54
3.58,157,1,84
3.29,159,0,69
3.44,155,0,59
3.66,151,1,84
3.63,158,1,75
3.65,152,0,64
3.5,141,1,67
3.57,163,0,71
3.28,151,0,66
3.25,137,1,60
3.38,146,0,60
3.31,149,0,66
3.53,149,1,80
3.34,146,0,65
3.51,160,1,82
3.29,146,0,63
3.67,138,0,65
3.72,157,1,86
3.78,147,1,77
3.42,154,1,76
3.04,139,1,68
3.34,143,0,60
3.33,152,0,64
3.49,150,0,68
3.4,156,0,68
3.22,136,1,65
3.53,146,1,76
3.93,145,0,64
3.32,157,0,67
3.61,153,0,63
3.54,158,1,86
3.38,146,1,65
3.86,145,0,66
3.23,147,1,65
3.96,155,1,81
3.49,148,1,79
3.55,147,1,73
3.64,159,1,82
3.73,141,1,70
3.82,146,1,73
3.3,145,1,76
3.38,156,0,69
3.77,154,0,70
3.38,152,0,71
3.52,144,1,69
3.57,144,1,77
3.37,159,1,74
3.56,146,0,60
3.4,158,1,79
3.42,136,1,69
3.25,154,1,70
3.14,136,1,65
3.93,151,0,65
3.92,149,0,61
3.67,150,1,72
3.78,161,0,75
3.63,150,1,80
3.45,152,1,83
3.18,155,0,56
3.5,162,0,64
3.49,144,1,67
3.12,139,1,57
3.5,152,0,65
3.73,147,1,74
3.95,152,1,86
3.18,154,0,63
3.95,150,0,64
3.8,152,0,67
3.57,160,0,65
3.57,141,0,67
3.54,157,0,72
3.65,158,0,67
3.37,154,0,68
3.17,135,1,69
3.66,156,0,68
3.5,147,1,76
3.69,160,0,76
3.8,156,0,69
3.67,149,1,71
3.27,158,0,64
3.24,137,1,68
3.43,138,1,71
3.34,158,0,71
3.63,156,0,73
3.72,148,1,75
3.68,153,1,83
3.44,140,1,70
3.37,151,0,67
3.43,161,0,68
3.37,144,1,71
3.85,160,0,74
3.66,158,1,80
3.68,151,0,64
3.74,155,0,64
3.48,146,0,61
3.38,147,1,79
3.54,147,1,75
3.57,144,1,78
3.5,158,0,65
3.45,153,1,72
3.84,163,0,72
3.97,156,0,76
3.17,141,0,52
3.63,152,1,78
3.47,151,0,62
3.46,152,1,74
3.1,140,1,64
3.73,156,1,75
3.55,153,1,73
3.78,143,1,73
3.47,147,0,57
3.43,155,1,81
3.21,152,0,68
3.58,150,1,81
3.35,147,0,62
3.49,143,1,63
3.18,148,1,68
3.16,136,1,67
3.41,147,0,56
3.4,157,0,72
3.56,150,0,69
3.52,146,0,66
3.59,142,1,75
3.49,146,1,87
3.25,148,1,72
3.89,153,1,83
3.46,144,1,75
3.64,152,0,67
2.98,140,1,64
3.44,152,0,64
3.43,144,0,58
3.83,149,0,64
3.07,145,1,71
3.27,143,0,57
3.38,154,1,76
3.68,150,1,83
3.44,146,1,77
3.42,157,1,71
3.58,141,1,78
3.28,134,1,64
3.4,152,0,64
3.77,144,1,70
3.11,143,0,64
3.6,151,1,80
3.77,157,0,59
3.66,156,1,74
3.09,156,0,63
3.73,155,1,87
3.18,141,1,66
3.57,163,0,74
3.54,158,0,69
3.27,149,1,78
3.01,146,1,72
3.22,149,1,73
3.62,146,0,57
3.63,159,1,90
3.42,149,1,79
3.42,153,0,63
3.6,149,1,68
3.9,142,1,75
3.72,147,0,63
3.45,154,1,79
3.13,151,0,58
3.08,142,1,75
3.38,158,0,61
3.61,148,1,74
3.45,151,1,76
3.42,161,0,73
3.59,159,1,85
3.98,158,1,86
3.29,147,0,68
3.34,148,1,75
3.59,142,0,63
3.95,142,1,81
3.54,150,1,74
3.34,152,0,66
3.66,160,0,63
2.92,152,0,58
3.16,141,0,57
3.32,155,0,72
3.38,152,1,70
3.15,146,1,78
3.46,163,0,71
3.67,148,1,72
3.49,152,1,69
3.32,149,0,60
3.57,138,0,55
3.67,152,1,83
3.2,154,0,58
3.5,156,1,75
3.56,146,0,57
3.42,152,1,79
3.51,154,1,81
3.52,159,1,82
3.35,145,0,65
3.49,145,1,74
3.54,144,1,76
3.5,149,0,67
3.17,153,0,65
3.2,145,1,77
3.58,162,0,64
3.4,149,1,70
3.25,162,0,71
3.56,157,1,80
3.52,160,1,86
3.43,157,0,73
3.58,154,0,64
3.49,150,0,72
3.32,148,1,65
3.66,153,0,69
3.35,145,1,74
3.2,141,1,71
3.35,156,0,67
3.61,158,0,71
3.99,161,0,66
3.65,146,0,61
3.29,152,1,79
3.45,146,1,66
3.48,146,1,79
3.67,160,0,74
3.65,151,0,62
3.19,152,1,71
3.47,152,0,61
3.11,145,1,73
3.3,141,0,61
3.45,150,0,67
3.14,144,1,67
3.71,150,1,72
3.53,145,0,60
3.13,148,1,78
3.58,163,1,85
3.34,144,1,67
3.59,152,1,76
3.24,142,1,62
3.34,145,1,65
3.7,155,0,73
3.41,142,1,67
3.67,147,1,78
3.43,158,0,69
3.57,148,0,63
3.71,155,0,70
3.26,142,1,71
3.51,143,0,54
3.18,131,1,61
3.28,145,1,65
2.8,148,1,69
3.6,146,1,76
3.25,145,0,63
3.25,145,1,72
3.35,151,0,58
3.38,155,1,84
3.38,145,1,74
3.55,160,1,79
3.82,151,1,79
3.96,141,1,80
3.51,141,1,68
3.48,145,1,66
3.89,163,0,74
3.21,148,1,67
3.49,147,1,76
3.43,140,0,58
3.64,154,0,68
3.42,150,0,66
3.71,154,0,68
3.33,151,1,73
3.58,147,0,61
3.55,145,0,66
3.64,150,0,66
3.61,153,0,67
3.57,146,1,78
3.95,145,0,60
3.69,152,0,64
3.13,149,1,73
3.61,155,0,69
3.43,142,0,62
3.45,146,1,74
3.67,146,0,65
3.6,156,1,88
3.69,156,0,68
3.59,151,1,74
3.82,148,0,70
3.4,152,0,66
3.76,158,1,82
3.37,146,1,62
3.35,152,1,78
3.15,145,1,73
3.38,147,1,70
3.5,149,0,69
3.6,154,0,71
3.44,147,1,70
3.88,150,1,79
3.85,147,0,68
3.73,156,0,68
3.73,154,0,73
3.32,140,1,75
3.41,142,1,65
3.51,144,1,73
3.45,157,0,69
3.61,149,1,69
3.62,153,1,83
3.04,147,1,78
3.46,155,1,72
3.45,148,1,77
